RespondentID,AI_Adoption,AI_WorkflowCoverage_Current,AI_ToolBreadth_Absolute,AI_ToolBreadth_Relative,AI_Attitude,AI_Trust,AI_ExpectedBenefits_Efficiency,AI_ExpectedBenefits_Learning,AI_ExpectedBenefits_Quality,AI_ExpectedBenefits_Collab,AI_UseForLearning
0,,0.0,0,0.0,,,,,,,0
1,100.0,25.0,2,10.0,50.0,25.0,0.0,0.0,0.0,0.0,0
2,0.0,0.0,0,0.0,,,,,,,0
3,0.0,0.0,0,0.0,,,,,,,0
4,100.0,50.0,1,5.0,100.0,75.0,100.0,100.0,100.0,0.0,100
5,100.0,25.0,5,25.0,75.0,75.0,50.0,0.0,0.0,0.0,0
6,100.0,25.0,2,10.0,25.0,25.0,0.0,0.0,100.0,0.0,0
7,100.0,37.5,4,20.0,75.0,25.0,50.0,100.0,0.0,0.0,0
8,100.0,0.0,0,0.0,100.0,75.0,50.0,0.0,0.0,0.0,0
9,100.0,25.0,5,25.0,50.0,50.0,100.0,100.0,0.0,0.0,0
10,0.0,0.0,4,20.0,,,,,,,0
11,100.0,25.0,2,10.0,75.0,75.0,100.0,0.0,100.0,0.0,0
12,0.0,0.0,2,10.0,,,,,,,0
13,100.0,25.0,1,5.0,75.0,75.0,0.0,100.0,100.0,0.0,0
14,30.0,0.0,0,0.0,50.0,50.0,,,,,0
15,100.0,12.5,2,10.0,75.0,75.0,100.0,100.0,100.0,0.0,0
16,100.0,12.5,2,10.0,100.0,75.0,100.0,100.0,100.0,0.0,0
17,100.0,62.5,2,10.0,100.0,50.0,50.0,100.0,0.0,0.0,0
18,100.0,12.5,2,10.0,75.0,50.0,50.0,0.0,0.0,0.0,0
19,100.0,37.5,3,15.0,75.0,75.0,100.0,0.0,0.0,0.0,0
20,100.0,12.5,1,5.0,75.0,75.0,100.0,100.0,0.0,0.0,0
21,0.0,0.0,2,10.0,,,,,,,0
22,100.0,25.0,2,10.0,100.0,50.0,50.0,100.0,0.0,0.0,0
23,0.0,0.0,0,0.0,,,,,,,0
24,100.0,50.0,0,0.0,75.0,50.0,50.0,0.0,0.0,0.0,100
25,30.0,0.0,1,5.0,50.0,50.0,,,,,0
26,100.0,0.0,2,10.0,75.0,25.0,50.0,0.0,0.0,0.0,0
27,30.0,0.0,2,10.0,75.0,25.0,,,,,0
28,0.0,0.0,0,0.0,,,,,,,0
29,30.0,0.0,1,5.0,50.0,50.0,,,,,0
30,0.0,0.0,1,5.0,,,,,,,0
31,0.0,0.0,0,0.0,,,,,,,0
32,100.0,50.0,2,10.0,75.0,50.0,100.0,100.0,0.0,0.0,0
33,30.0,0.0,1,5.0,25.0,25.0,,,,,0
34,30.0,0.0,1,5.0,50.0,50.0,,,,,0
35,0.0,0.0,0,0.0,,,,,,,0
36,100.0,25.0,2,10.0,75.0,75.0,50.0,0.0,100.0,0.0,0
37,30.0,0.0,2,10.0,50.0,50.0,,,,,0
38,100.0,12.5,1,5.0,100.0,75.0,50.0,0.0,100.0,0.0,0
39,100.0,50.0,1,5.0,100.0,50.0,50.0,100.0,100.0,0.0,100
40,0.0,0.0,3,15.0,,,,,,,0
41,100.0,0.0,4,20.0,75.0,50.0,50.0,0.0,0.0,0.0,0
42,100.0,25.0,5,25.0,75.0,25.0,50.0,0.0,100.0,0.0,0
43,100.0,50.0,3,15.0,75.0,25.0,100.0,100.0,0.0,0.0,0
44,0.0,0.0,2,10.0,,,,,,,0
45,0.0,0.0,0,0.0,,,,,,,0
46,0.0,0.0,1,5.0,,,,,,,0
47,0.0,0.0,0,0.0,,,,,,,0
48,0.0,0.0,0,0.0,,,,,,,0
49,100.0,25.0,1,5.0,75.0,25.0,50.0,100.0,0.0,0.0,0
50,0.0,0.0,0,0.0,,,,,,,0
51,100.0,12.5,1,5.0,50.0,50.0,0.0,100.0,0.0,0.0,0
52,0.0,0.0,2,10.0,,,,,,,0
53,0.0,0.0,4,20.0,,,,,,,0
54,0.0,0.0,1,5.0,,,,,,,0
55,0.0,0.0,1,5.0,,,,,,,0
56,0.0,0.0,0,0.0,,,,,,,0
57,30.0,0.0,0,0.0,75.0,75.0,,,,,0
58,0.0,0.0,1,5.0,,,,,,,0
59,100.0,37.5,2,10.0,100.0,75.0,100.0,100.0,100.0,0.0,0
60,0.0,0.0,0,0.0,,,,,,,0
61,30.0,0.0,0,0.0,40.0,50.0,,,,,0
62,0.0,0.0,0,0.0,,,,,,,0
63,0.0,0.0,0,0.0,,,,,,,0
64,0.0,0.0,0,0.0,,,,,,,0
65,0.0,0.0,0,0.0,,,,,,,0
66,0.0,0.0,0,0.0,,,,,,,0
67,30.0,0.0,2,10.0,40.0,25.0,,,,,0
68,30.0,0.0,1,5.0,50.0,0.0,,,,,0
69,100.0,12.5,2,10.0,75.0,50.0,100.0,100.0,100.0,0.0,0
70,,0.0,0,0.0,,,,,,,0
71,0.0,0.0,0,0.0,,,,,,,0
