RespondentID,AI_Adoption,AI_WorkflowCoverage_Current,AI_ToolBreadth_Absolute,AI_ToolBreadth_Relative,AI_Attitude,AI_Trust,AI_Threat,AI_ExpectedBenefits_Efficiency,AI_ExpectedBenefits_Learning,AI_ExpectedBenefits_Quality,AI_ExpectedBenefits_Collab,AI_ComplexHandling,JobSatisfaction,AI_UseForLearning
0,100.0,0.0,0,0.0,100.0,,,50.0,0.0,0.0,0.0,,,0
1,0.0,0.0,0,0.0,,,,,,,,,,0
2,0.0,0.0,0,0.0,,,,,,,,,,0
3,100.0,75.0,0,0.0,100.0,75.0,0.0,100.0,100.0,100.0,100.0,25.0,,100
4,0.0,0.0,0,0.0,,,,,,,,,,0
5,100.0,25.0,3,25.0,75.0,75.0,0.0,100.0,0.0,100.0,0.0,75.0,,0
6,0.0,0.0,0,0.0,,,,,,,,,,0
7,100.0,25.0,1,8.333333333333332,50.0,25.0,100.0,50.0,100.0,100.0,0.0,25.0,,0
8,0.0,0.0,0,0.0,,,,,,,,,,0
9,100.0,0.0,2,16.666666666666664,50.0,50.0,50.0,50.0,100.0,0.0,0.0,25.0,,0
10,100.0,50.0,5,41.66666666666667,75.0,25.0,0.0,50.0,100.0,100.0,0.0,50.0,80.0,100
11,0.0,0.0,0,0.0,,,,,,,,,,0
12,0.0,0.0,0,0.0,,,,,,,,,80.0,0
13,100.0,12.5,1,8.333333333333332,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,,100
14,0.0,0.0,0,0.0,,,,,,,,,,0
15,0.0,0.0,3,25.0,,,,,,,,,50.0,0
16,100.0,25.0,3,25.0,75.0,25.0,0.0,100.0,0.0,0.0,0.0,50.0,,0
17,30.0,0.0,1,8.333333333333332,75.0,,50.0,,,,,,,0
18,100.0,37.5,2,16.666666666666664,100.0,50.0,0.0,100.0,0.0,100.0,0.0,50.0,100.0,0
19,0.0,0.0,0,0.0,,,,,,,,,,0
20,100.0,50.0,1,8.333333333333332,40.0,75.0,50.0,100.0,0.0,100.0,0.0,25.0,60.0,0
21,100.0,25.0,2,16.666666666666664,100.0,75.0,0.0,100.0,0.0,100.0,0.0,75.0,,0
22,100.0,37.5,1,8.333333333333332,100.0,75.0,0.0,50.0,100.0,0.0,0.0,75.0,90.0,100
23,0.0,0.0,0,0.0,,,,,,,,,,0
24,0.0,0.0,0,0.0,,,,,,,,,40.0,0
25,30.0,0.0,1,8.333333333333332,50.0,,0.0,,,,,,,0
26,100.0,50.0,3,25.0,75.0,50.0,50.0,100.0,100.0,0.0,0.0,75.0,70.0,100
