RespondentID,AI_Adoption,AI_WorkflowCoverage_Current,AI_ToolBreadth_Absolute,AI_ToolBreadth_Relative,AI_Attitude,AI_Trust,AI_Threat,AI_ComplexHandling,AI_AgentImpact_Productivity,AI_AgentImpact_Automation,AI_AgentImpact_Quality,AI_AgentImpact_Learning,AI_AgentImpact_ProblemSolving,AI_AgentImpact_Collaboration,JobSatisfaction,AI_UseForLearning,AI_LearnEngagement
0,40.0,12.5,8,17.77777777777778,50.0,50.0,50.0,25.0,75.0,50.0,50.0,50.0,50.0,50.0,100.0,50,3.3333333333333335
1,75.0,0.0,5,11.11111111111111,50.0,50.0,50.0,25.0,,,,,,,90.0,0,3.3333333333333335
2,100.0,12.5,3,6.666666666666667,75.0,75.0,0.0,50.0,75.0,75.0,50.0,75.0,50.0,25.0,80.0,0,10.0
3,75.0,0.0,0,0.0,75.0,75.0,0.0,25.0,50.0,25.0,50.0,75.0,50.0,50.0,60.0,0,10.0
4,75.0,12.5,9,20.0,75.0,50.0,0.0,75.0,,,,,,,70.0,50,6.666666666666667
5,100.0,31.25,2,4.444444444444445,50.0,25.0,50.0,75.0,75.0,100.0,25.0,75.0,75.0,25.0,70.0,50,20.0
6,100.0,31.25,1,2.2222222222222223,75.0,75.0,100.0,50.0,75.0,75.0,50.0,75.0,50.0,50.0,60.0,50,13.333333333333334
7,100.0,12.5,4,8.88888888888889,100.0,75.0,100.0,50.0,,,,,,,60.0,0,6.666666666666667
8,40.0,0.0,4,8.88888888888889,50.0,50.0,0.0,50.0,,,,,,,80.0,0,13.333333333333334
9,0.0,0.0,1,2.2222222222222223,25.0,0.0,0.0,0.0,,,,,,,40.0,0,0.0
10,100.0,31.25,7,15.555555555555555,100.0,25.0,0.0,0.0,87.5,75.0,50.0,100.0,100.0,50.0,100.0,50,16.666666666666664
11,100.0,12.5,0,0.0,100.0,50.0,0.0,25.0,,,,,,,80.0,50,6.666666666666667
12,40.0,0.0,1,2.2222222222222223,25.0,25.0,50.0,25.0,,,,,,,70.0,0,0.0
13,,0.0,0,0.0,,,0.0,,,,,,,,60.0,0,13.333333333333334
14,100.0,43.75,0,0.0,75.0,75.0,50.0,75.0,,,,,,,90.0,50,0.0
15,100.0,75.0,3,6.666666666666667,75.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,100,0.0
16,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,0,0.0
17,100.0,12.5,3,6.666666666666667,25.0,50.0,100.0,75.0,,,,,,,60.0,0,10.0
18,0.0,0.0,6,13.333333333333334,0.0,0.0,0.0,0.0,,,,,,,50.0,0,0.0
19,100.0,87.5,1,2.2222222222222223,100.0,50.0,0.0,100.0,,,,,,,,100,6.666666666666667
20,0.0,0.0,0,0.0,25.0,0.0,0.0,,,,,,,,,0,0.0
21,0.0,0.0,3,6.666666666666667,0.0,0.0,0.0,,,,,,,,,0,0.0
